
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:13825        kubernetes:22233       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22236       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22238       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22241       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22242       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22243       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22245       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22246       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22247       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22249       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22251       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22254       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22256       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22257       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22258       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22260       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22261       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22262       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22264       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22265       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22266       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22268       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22269       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22270       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22282       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22283       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22284       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22288       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22290       TIME_WAIT
  TCP    127.0.0.1:13825        kubernetes:22291       TIME_WAIT
  TCP    127.0.0.1:18677        kubernetes:18688       ESTABLISHED
  TCP    127.0.0.1:18688        kubernetes:18677       ESTABLISHED
  TCP    127.0.0.1:22196        kubernetes:13825       TIME_WAIT
  TCP    127.0.0.1:26121        kubernetes:26122       ESTABLISHED
  TCP    127.0.0.1:26122        kubernetes:26121       ESTABLISHED
  TCP    127.0.0.1:26123        kubernetes:26124       ESTABLISHED
  TCP    127.0.0.1:26124        kubernetes:26123       ESTABLISHED
  TCP    127.0.0.1:26125        kubernetes:26126       ESTABLISHED
  TCP    127.0.0.1:26126        kubernetes:26125       ESTABLISHED
  TCP    127.0.0.1:26127        kubernetes:26128       ESTABLISHED
  TCP    127.0.0.1:26128        kubernetes:26127       ESTABLISHED
  TCP    127.0.0.1:27443        kubernetes:9100        ESTABLISHED
  TCP    127.0.0.1:29562        kubernetes:59243       ESTABLISHED
  TCP    127.0.0.1:59243        kubernetes:29562       ESTABLISHED
